experiment_id,cohort,persona,policy,target_id,loop,probe_id,thumb,target_rank,target_share,top_id,entropy_before_bits,entropy_after_bits,realized_bits,first_up_loop,surfaced
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,1,2017|Acura|ILX,up,1,0.9859749675,2017|Acura|ILX,,,,1,true
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,2,2018|Acura|ILX,down,1,0.5119224787,2017|Acura|ILX,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,3,2017|Acura|TLX FWD,down,8,0.3760798275,2017|BMW|i3 REX (94 Amp-hour battery),,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,4,2017|BMW|i3 REX (94 Amp-hour battery),down,1,0.3374149799,2017|Acura|ILX,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,5,2019|Acura|ILX,down,1,0.2536999583,2017|Acura|ILX,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,6,2017|Acura|RLX Hybrid,down,1,0.2272942066,2017|Acura|ILX,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,7,2017|Hyundai|Veloster,down,1,0.2005457729,2017|Acura|ILX,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,8,2018|Acura|TLX FWD,down,2,0.1680831313,2025|Acura|ADX FWD,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,9,2025|Acura|ADX FWD,down,1,0.1531608999,2017|Acura|ILX,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,10,2017|Audi|A4,down,9,0.1370025873,2018|Acura|TLX FWD A-SPEC,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,11,2018|Acura|TLX FWD A-SPEC,down,1,0.122859776,2017|Acura|ILX,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,12,2020|Acura|ILX,down,1,0.1086212397,2017|Acura|ILX,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,13,2017|Jeep|Compass FWD,down,5,0.1048612148,2017|Mercedes-Benz|CLA250 4matic,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,14,2017|Mercedes-Benz|CLA250 4matic,down,5,0.09794248641,2017|Acura|TLX FWD,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2017|Acura|ILX,15,2019|Acura|TLX FWD,down,4,0.08888356388,2017|Acura|RLX Hybrid,,,,1,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,1,2017|Acura|ILX,down,6446,0.02491175011,2026|GMC|Sierra 4WD (Flex Fuel),,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,2,2026|GMC|Sierra 4WD (Flex Fuel),down,3200,0.06962533295,2020|BMW|I8 Roadster,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,3,2020|BMW|I8 Roadster,down,4395,0.06102743,2019|Nissan|Murano AWD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,4,2019|Nissan|Murano AWD,down,4230,0.06061863154,2026|Kia|Sorento FWD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,5,2026|Kia|Sorento FWD,down,6162,0.04812218994,2018|Chevrolet|Colorado ZR2 4WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,6,2018|Chevrolet|Colorado ZR2 4WD,down,4520,0.05519257486,2017|Cadillac|CT6 Plug-In,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,7,2017|Cadillac|CT6 Plug-In,down,5957,0.05323248357,2020|Subaru|BRZ tS,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,8,2020|Subaru|BRZ tS,down,3753,0.06550811976,2023|Mazda|MX-30,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,9,2023|Mazda|MX-30,down,4218,0.06034787744,2025|Mercedes-Benz|AMG GT 63 S E Performance,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,10,2025|Mercedes-Benz|AMG GT 63 S E Performance,down,1987,0.06423096359,2020|GMC|Yukon K1500 4WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,11,2020|GMC|Yukon K1500 4WD,down,1396,0.06940972805,2026|Toyota|Sienna 2WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,12,2026|Toyota|Sienna 2WD,down,1484,0.06675042212,2023|Mazda|MX-5,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,13,2023|Mazda|MX-5,down,1654,0.06620515138,2018|Ford|Fiesta ST FWD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,14,2018|Ford|Fiesta ST FWD,down,3216,0.06194355339,2022|Audi|Q5 TFSI e quattro,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2018|Audi|A3,15,2022|Audi|Q5 TFSI e quattro,down,5606,0.05723137036,2018|Chevrolet|Silverado K15 4WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,1,2017|Acura|ILX,down,3879,0.05837054923,2026|GMC|Sierra 4WD (Flex Fuel),,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,2,2026|GMC|Sierra 4WD (Flex Fuel),down,2116,0.08097422868,2020|BMW|I8 Roadster,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,3,2020|BMW|I8 Roadster,down,6593,0.0332589671,2019|Nissan|Murano AWD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,4,2019|Nissan|Murano AWD,down,6386,0.04644908383,2026|Kia|Sorento FWD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,5,2026|Kia|Sorento FWD,down,4738,0.05525637418,2018|Chevrolet|Colorado ZR2 4WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,6,2018|Chevrolet|Colorado ZR2 4WD,down,2283,0.06450381875,2017|Cadillac|CT6 Plug-In,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,7,2017|Cadillac|CT6 Plug-In,down,4372,0.06059265509,2020|Subaru|BRZ tS,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,8,2020|Subaru|BRZ tS,down,3602,0.06604224443,2023|Mazda|MX-30,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,9,2023|Mazda|MX-30,down,3811,0.06157989055,2025|Mercedes-Benz|AMG GT 63 S E Performance,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,10,2025|Mercedes-Benz|AMG GT 63 S E Performance,down,5737,0.05555226654,2020|GMC|Yukon K1500 4WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,11,2020|GMC|Yukon K1500 4WD,down,4785,0.05921516567,2026|Toyota|Sienna 2WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,12,2026|Toyota|Sienna 2WD,down,4503,0.06015349552,2023|Mazda|MX-5,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,13,2023|Mazda|MX-5,down,4993,0.05894346908,2018|Ford|Fiesta ST FWD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,14,2018|Ford|Fiesta ST FWD,down,3788,0.06061802804,2022|Audi|Q5 TFSI e quattro,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2019|BMW|740e xDrive,15,2022|Audi|Q5 TFSI e quattro,down,6397,0.05382383987,2018|Chevrolet|Silverado K15 4WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,1,2017|Acura|ILX,down,5826,0.03623847663,2026|GMC|Sierra 4WD (Flex Fuel),,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,2,2026|GMC|Sierra 4WD (Flex Fuel),down,5870,0.04423483089,2020|BMW|I8 Roadster,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,3,2020|BMW|I8 Roadster,down,3072,0.06912816316,2019|Nissan|Murano AWD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,4,2019|Nissan|Murano AWD,down,1289,0.07768305391,2026|Kia|Sorento FWD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,5,2026|Kia|Sorento FWD,down,19,0.09216487408,2018|Chevrolet|Colorado ZR2 4WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,6,2018|Chevrolet|Colorado ZR2 4WD,down,230,0.07987304777,2017|Cadillac|CT6 Plug-In,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,7,2017|Cadillac|CT6 Plug-In,down,1345,0.07184644789,2020|Subaru|BRZ tS,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,8,2020|Subaru|BRZ tS,down,1521,0.07417905331,2023|Mazda|MX-30,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,9,2023|Mazda|MX-30,down,4240,0.06030415371,2025|Mercedes-Benz|AMG GT 63 S E Performance,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,10,2025|Mercedes-Benz|AMG GT 63 S E Performance,down,328,0.07286180556,2020|GMC|Yukon K1500 4WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,11,2020|GMC|Yukon K1500 4WD,down,192,0.07793030888,2026|Toyota|Sienna 2WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,12,2026|Toyota|Sienna 2WD,down,539,0.07108349353,2023|Mazda|MX-5,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,13,2023|Mazda|MX-5,down,125,0.07605943084,2018|Ford|Fiesta ST FWD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,14,2018|Ford|Fiesta ST FWD,down,108,0.07615436614,2022|Audi|Q5 TFSI e quattro,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2020|Chevrolet|Bolt EV,15,2022|Audi|Q5 TFSI e quattro,down,38,0.08275179565,2018|Chevrolet|Silverado K15 4WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2021|Ford|Escape FWD PHEV,1,2017|Acura|ILX,down,2207,0.07862600684,2026|GMC|Sierra 4WD (Flex Fuel),,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2021|Ford|Escape FWD PHEV,2,2026|GMC|Sierra 4WD (Flex Fuel),down,149,0.1286982447,2020|BMW|I8 Roadster,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2021|Ford|Escape FWD PHEV,3,2020|BMW|I8 Roadster,down,1537,0.08212256432,2019|Nissan|Murano AWD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2021|Ford|Escape FWD PHEV,4,2019|Nissan|Murano AWD,down,133,0.09908177704,2026|Kia|Sorento FWD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2021|Ford|Escape FWD PHEV,5,2026|Kia|Sorento FWD,down,209,0.08005736768,2018|Chevrolet|Colorado ZR2 4WD,,,,,false
targeted-eig-aec84a9237,heldout,default,greedy,2021|Ford|Escape FWD PHEV,6,2018|Chevrolet|Colorado ZR2 4WD,down,2141,0.06515672803,2017|Cadillac|CT6 Plug-In,,,,,false
