cohort,persona,policy,loop,median_rank,top1,top3,top10,surfaced_rate,median_realized_bits,median_cumulative_bits
development,default,active,1,4260.5,0.0,0.0,0.0,0.0,0.00803431856,0.00803431856
development,default,active,2,2449.0,0.0,0.0,0.0,0.0,0.002041121165,0.01007543973
development,default,active,3,1594.5,0.0,0.0,0.0,0.0,0.000337688127,0.01041312785
development,default,active,4,1637.0,0.0,0.0,0.0,0.0,0.0009307083167,0.01134383617
development,default,active,5,1917.0,0.0,0.0,0.0,0.0,-0.0006333205174,0.01071051565
development,default,active,6,1437.5,0.0,0.0,0.0,0.0,0.0002181626134,0.01092867827
development,default,active,7,1891.5,0.0,0.0,0.0,0.0,0.0002034031584,0.01113208142
development,default,active,8,1414.0,0.0,0.0,0.0,0.0,0.0001892158515,0.01132129728
development,default,active,9,999.5,0.0,0.0,0.0,0.0,0.0007742329745,0.01209553025
development,default,active,10,1401.0,0.0,0.0,0.0,0.0,0.0002905269479,0.0123860572
development,default,active,11,912.5,0.0,0.0,0.0,0.0,0.0007607118162,0.01314676901
development,default,active,12,736.0,0.0,0.0,0.0,0.0,0.001847755185,0.0149945242
development,default,active,13,656.0,0.0,0.0,0.0,0.0,0.000831812211,0.01582633641
development,default,active,14,759.0,0.0,0.0,0.0,0.0,0.0008037276646,0.01663006407
development,default,active,15,806.5,0.0,0.0,0.0,0.0,0.000571596267,0.01720166034
development,default,greedy,1,2165.5,0.0,0.0,0.0,0.0,,
development,default,greedy,2,2390.0,0.0,0.0,0.0,0.0,,
development,default,greedy,3,2902.5,0.0,0.0,0.0,0.0,,
development,default,greedy,4,2857.0,0.0,0.0,0.0,0.0,,
development,default,greedy,5,2274.5,0.0,0.0,0.0,0.0,,
development,default,greedy,6,3653.5,0.0,0.0,0.0,0.0,,
development,default,greedy,7,2608.0,0.0,0.0,0.0,0.0,,
development,default,greedy,8,1777.5,0.0,0.0,0.0,0.0,,
development,default,greedy,9,3403.5,0.0,0.0,0.0,0.0,,
development,default,greedy,10,3574.0,0.0,0.0,0.0,0.0,,
development,default,greedy,11,2208.5,0.0,0.0,0.0,0.0,,
development,default,greedy,12,1991.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
development,default,greedy,13,2509.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
development,default,greedy,14,2126.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
development,default,greedy,15,2151.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
development,default,passive,1,3598.5,0.0,0.0,0.0,0.0,0.003700167295,0.003700167295
development,default,passive,2,3197.5,0.0,0.0,0.0,0.0,0.001587518214,0.00528768551
development,default,passive,3,3226.5,0.0,0.0,0.0,0.0,0.0006595479506,0.00594723346
development,default,passive,4,3205.0,0.0,0.0,0.0,0.0,7.343942674e-06,0.005954577403
development,default,passive,5,3592.5,0.0,0.0,0.0,0.0,0.002354470268,0.008309047671
development,default,passive,6,3566.5,0.0,0.0,0.0,0.0,-0.0001592298357,0.008149817835
development,default,passive,7,3131.0,0.0,0.0,0.0,0.0,7.383017295e-05,0.008223648008
development,default,passive,8,3050.0,0.0,0.0,0.0,0.0,0.000510383192,0.0087340312
development,default,passive,9,3264.0,0.0,0.0,0.0,0.0,2.742308502e-05,0.008761454285
development,default,passive,10,2335.0,0.0,0.0,0.0,0.0,0.00026632656,0.009027780845
development,default,passive,11,2207.0,0.0,0.0,0.0,0.0,-0.0001149330254,0.00891284782
development,default,passive,12,3512.0,0.0,0.0,0.0,0.0,0.000660329275,0.009573177095
development,default,passive,13,2902.0,0.0,0.0,0.0,0.0,9.839070545e-05,0.0096715678
development,default,passive,14,3118.0,0.0,0.0,0.0,0.0,0.0003652587947,0.01003682659
