epa_id,year,make,model,base_model,vehicle_class,fuel_type,drive,transmission,cylinders,displacement,city_mpg,highway_mpg,combined_mpg,electric_range,co2_tailpipe_gpm
37378,2017,Acura,ILX,ILX,Compact Cars,Premium,Front-Wheel Drive,Automatic (AM-S8),4,2.4,25,35,29,0,309.0
37593,2017,Acura,MDX AWD,MDX,Small Sport Utility Vehicle 4WD,Premium,All-Wheel Drive,Automatic (S9),6,3.5,19,26,22,0,404.0
37594,2017,Acura,MDX AWD,MDX,Small Sport Utility Vehicle 4WD,Premium,All-Wheel Drive,Automatic (S9),6,3.5,18,26,21,0,424.0
37591,2017,Acura,MDX FWD,MDX,Small Sport Utility Vehicle 2WD,Premium,Front-Wheel Drive,Automatic (S9),6,3.5,20,27,23,0,391.0
37592,2017,Acura,MDX FWD,MDX,Small Sport Utility Vehicle 2WD,Premium,Front-Wheel Drive,Automatic (S9),6,3.5,19,27,22,0,404.0
38567,2017,Acura,MDX Hybrid AWD,MDX,Small Sport Utility Vehicle 4WD,Premium,All-Wheel Drive,Automatic (AM-S7),6,3.0,26,27,27,0,329.0
37436,2017,Acura,NSX Hybrid,NSX,Two Seaters,Premium,All-Wheel Drive,Automatic (AM-S9),6,3.5,21,22,21,0,420.0
37308,2017,Acura,RDX AWD,RDX,Small Sport Utility Vehicle 4WD,Premium,All-Wheel Drive,Automatic (S6),6,3.5,19,27,22,0,402.0
37307,2017,Acura,RDX FWD,RDX,Small Sport Utility Vehicle 2WD,Premium,Front-Wheel Drive,Automatic (S6),6,3.5,20,28,23,0,386.0
37919,2017,Acura,RLX,RLX,Midsize Cars,Premium,Front-Wheel Drive,Automatic (S6),6,3.5,20,30,23,0,380.0
37920,2017,Acura,RLX Hybrid,RLX,Midsize Cars,Premium,All-Wheel Drive,Automatic (AM-S7),6,3.5,29,30,29,0,306.0
37758,2017,Acura,TLX AWD,TLX,Compact Cars,Premium,All-Wheel Drive,Automatic (S9),6,3.5,21,31,25,0,358.0
37756,2017,Acura,TLX FWD,TLX,Compact Cars,Premium,Front-Wheel Drive,Automatic (AM-S8),4,2.4,24,35,28,0,321.0
37757,2017,Acura,TLX FWD,TLX,Compact Cars,Premium,Front-Wheel Drive,Automatic (S9),6,3.5,21,34,25,0,358.0
38231,2017,Audi,A3,A3,Subcompact Cars,Regular,Front-Wheel Drive,Automatic (AM-S7),4,2.0,26,35,29,0,303.0
38232,2017,Audi,A3 Cabriolet,A3,Subcompact Cars,Regular,Front-Wheel Drive,Automatic (AM-S7),4,2.0,25,34,28,0,316.0
38176,2017,Audi,A3 Cabriolet quattro,A3,Subcompact Cars,Regular,All-Wheel Drive,Automatic (AM-S6),4,2.0,22,30,25,0,359.0
38228,2017,Audi,A3 e-tron,A3,Compact Cars,Premium and Electricity,Front-Wheel Drive,Automatic (AM-S6),4,1.4,33,36,34,380,158.0
38006,2017,Audi,A3 quattro,A3,Subcompact Cars,Regular,All-Wheel Drive,Automatic (AM-S6),4,2.0,24,31,27,0,330.0
37302,2017,Audi,A4,A4,Compact Cars,Premium,Front-Wheel Drive,Automatic (AM-S7),4,2.0,25,33,28,0,315.0
38013,2017,Audi,A4 Ultra,A4,Compact Cars,Premium,Front-Wheel Drive,Automatic (AM-S7),4,2.0,27,37,31,0,284.0
38042,2017,Audi,A4 allroad quattro,A4,Small Station Wagons,Premium,All-Wheel Drive,Automatic (AM-S7),4,2.0,23,28,25,0,349.0
37301,2017,Audi,A4 quattro,A4,Compact Cars,Premium,All-Wheel Drive,Automatic (AM-S7),4,2.0,24,31,27,0,330.0
38467,2017,Audi,A4 quattro,A4,Compact Cars,Premium,All-Wheel Drive,Manual 6-spd,4,2.0,24,33,27,0,329.0
37708,2017,Audi,A5 Cabriolet quattro,A5,Subcompact Cars,Premium or E85,All-Wheel Drive,Automatic (S8),4,2.0,21,29,24,0,372.0
37707,2017,Audi,A5 quattro,A5,Subcompact Cars,Premium or E85,All-Wheel Drive,Automatic (S8),4,2.0,21,30,24,0,364.0
37743,2017,Audi,A5 quattro,A5,Subcompact Cars,Premium,All-Wheel Drive,Manual 6-spd,4,2.0,23,32,26,0,338.0
38029,2017,Audi,A6,A6,Midsize Cars,Premium,Front-Wheel Drive,Automatic (AM-S7),4,2.0,24,34,28,0,317.0
37717,2017,Audi,A6 quattro,A6,Midsize Cars,Premium,All-Wheel Drive,Automatic (S8),6,3.0,21,29,24,0,376.0
38028,2017,Audi,A6 quattro,A6,Midsize Cars,Premium,All-Wheel Drive,Automatic (S8),4,2.0,22,31,25,0,353.0
37718,2017,Audi,A7 quattro,A7,Midsize Cars,Premium,All-Wheel Drive,Automatic (S8),6,3.0,21,29,24,0,376.0
37727,2017,Audi,A8 L,A8,Large Cars,Premium,All-Wheel Drive,Automatic (S8),6,3.0,19,29,22,0,397.0
37728,2017,Audi,A8 L,A8,Large Cars,Premium,All-Wheel Drive,Automatic (S8),8,4.0,18,29,22,0,410.0
37823,2017,Audi,Q3,Q3,Compact Cars,Premium,Front-Wheel Drive,Automatic (S6),4,2.0,20,28,23,0,391.0
37886,2017,Audi,Q3 quattro,Q3,Compact Cars,Premium,All-Wheel Drive,Automatic (S6),4,2.0,20,28,23,0,387.0
37733,2017,Audi,Q5,Q5,Small Sport Utility Vehicle 4WD,Premium or E85,All-Wheel Drive,Automatic (S8),4,2.0,20,27,22,0,395.0
37789,2017,Audi,Q5,Q5,Small Sport Utility Vehicle 4WD,Premium,All-Wheel Drive,Automatic (S8),6,3.0,18,26,21,0,429.0
